assignemnt_title,graded_score,total_score,assignment_mean,assignment_median,assignment_high,assingment_upperquartile,assignment_low,assignment_lowerquartile
Prep: Career Coaching Status Report,10.0,10.0,8.9,10.0,10.0,10.0,0.0,10.0
Prep: Career: Professional Etiquette,10.0,10.0,9.1,10.0,10.0,10.0,0.0,10.0
Prep: Career: Update Your Resume,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Prep: Create a Reading Notes Repo,10.0,10.0,9.4,10.0,10.0,10.0,8.0,8.75
Prep: Deck Out Your Editor,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
"Prep: Get Started with Python, Brush Up on Everything Else",20.0,20.0,13.0,20.0,20.0,20.0,0.0,0.0
Prep: Introduction to SQL,10.0,10.0,7.0,10.0,10.0,10.0,0.0,1.5
Prep: Practice in the Terminal,10.0,10.0,6.8,10.0,10.0,10.0,0.0,2.0
Prep: Setup your Accounts,10.0,10.0,9.75,10.0,10.0,10.0,5.0,10.0
Prep: The Growth Mindset,10.0,10.0,8.1,10.0,10.0,10.0,0.0,10.0
Read: Class 01,2.0,2.0,1.7,2.0,2.0,2.0,0.0,2.0
Code Challenge: Class 01,5.0,5.0,4.05,4.0,5.0,5.0,0.0,3.75
Lab: 01 - Intro to Python,10.0,10.0,9.93,10.0,10.0,10.0,8.5,10.0
Learning Journal: Class 01,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Prep: Engineering Readings,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Class 02,2.0,2.0,1.8,2.0,2.0,2.0,0.0,2.0
Code Challenge: Class 02,5.0,5.0,4.25,5.0,5.0,5.0,1.0,4.0
"Lab: 02 - Modules, Containers, and Testing",10.0,10.0,9.95,10.0,10.0,10.0,9.0,10.0
Learning Journal: Class 02,2.0,2.0,1.8,2.0,2.0,2.0,0.0,2.0
Read: Class 03,2.0,2.0,1.85,2.0,2.0,2.0,0.0,2.0
Code Challenge: Class 03,5.0,5.0,3.95,4.75,5.0,5.0,1.0,3.75
"Lab: 03 -  Errors, Files, and Packaging",10.0,10.0,7.6,9.0,10.0,9.25,2.0,5.0
Learning Journal: Class 03,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Class 04,2.0,2.0,1.75,2.0,2.0,2.0,0.0,2.0
Career Coaching Workshop #1 Prep - Accountability Partners,10.0,10.0,9.0,10.0,10.0,10.0,0.0,10.0
Career Coaching Workshop #1 Prep - Networking Gameplan,5.0,5.0,4.75,5.0,5.0,5.0,0.0,5.0
Career Coaching Workshop #1 Prep - Resume,10.0,10.0,9.45,10.0,10.0,10.0,5.0,10.0
"Lab: 04 -  Classes, and Fixtures",10.0,10.0,9.48,10.0,10.0,10.0,8.0,9.38
Learning Journal: Class 04,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Linked Lists,2.0,2.0,1.6,2.0,2.0,2.0,0.0,1.0
Career Coaching Workshop #1: Completed Resume,50.0,50.0,47.5,50.0,50.0,50.0,0.0,50.0
Career: Partner Power Hour - Report #1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Code Challenge: Class 05: Linked List Implementation,5.0,5.0,4.1,5.0,5.0,5.0,1.0,4.0
Feedback: Week 1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Learning Journal: Class 05,2.0,2.0,1.8,2.0,2.0,2.0,0.0,2.0
Read: Class 06,2.0,2.0,1.7,2.0,2.0,2.0,0.0,2.0
Code Challenge: Class 06,5.0,5.0,3.8,4.0,5.0,5.0,0.0,3.75
Lab: 06 -  Guided Project I,10.0,10.0,8.53,10.0,10.0,10.0,0.0,8.0
Learning Journal: Class 06,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Class 07,2.0,2.0,1.6,2.0,2.0,2.0,0.0,1.75
Code Challenge: Class 07,5.0,5.0,3.65,4.0,5.0,5.0,0.0,3.0
Lab: 07 - Guided Project II,10.0,10.0,6.55,8.0,10.0,10.0,0.0,3.5
Learning Journal: Class 07,2.0,2.0,1.7,2.0,2.0,2.0,0.0,2.0
Read: Class 08,2.0,2.0,1.6,2.0,2.0,2.0,0.0,1.0
Code Challenge: Class 08,5.0,5.0,3.15,3.0,5.0,4.25,0.0,2.0
Learning Journal: Class 08,0.0,2.0,1.8,2.0,2.0,2.0,0.0,2.0
Career Coaching Workshop #2 Prep - Personal Pitch,10.0,10.0,9.4,10.0,10.0,10.0,0.0,10.0
Career Coaching Workshop #2 Prep - Stage Fright,10.0,10.0,9.47,10.0,10.0,10.0,0.0,10.0
Career Coaching Workshop #2 Prep - Your Why,10.0,10.0,8.1,10.0,10.0,10.0,0.0,10.0
Code Challenge: Class 09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Learning Journal: Class 09,2.0,2.0,1.8,2.0,2.0,2.0,0.0,2.0
Lab: 08 - Guided Project III,9.0,10.0,5.13,5.0,10.0,9.0,0.0,2.0
Read: Stacks & Queues,1.0,2.0,1.25,1.0,2.0,2.0,0.0,1.0
Career Coaching Workshop #2: Completed Personal Pitch,50.0,50.0,45.0,50.0,50.0,50.0,0.0,50.0
Career: Partner Power Hour - Report #2,5.0,5.0,4.75,5.0,5.0,5.0,0.0,5.0
Code Challenge: Class 10: Stack and a Queue Implementation,5.0,5.0,4.15,5.0,5.0,5.0,0.0,4.0
Feedback: Week 2,5.0,5.0,4.75,5.0,5.0,5.0,0.0,5.0
Learning Journal: Class 10,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Career Coaching Workshop #3 Prep - Set a Networking Appointment,10.0,10.0,8.5,10.0,10.0,10.0,0.0,10.0
Read: Class 11,2.0,2.0,1.65,2.0,2.0,2.0,0.0,2.0
Code Challenge: Class 11,5.0,5.0,3.93,5.0,5.0,5.0,0.0,3.75
Lab: 11 - Numpy,10.0,10.0,8.45,9.25,10.0,10.0,0.0,8.0
Learning Journal: Class 11,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Class 12,2.0,2.0,1.35,1.5,2.0,2.0,0.0,1.0
Code Challenge: Class 12,5.0,5.0,3.58,4.0,5.0,4.63,0.0,3.0
Lab: 12 - Data Analysis with Pandas,10.0,10.0,7.6,9.0,10.0,10.0,0.0,7.0
Learning Journal: Class 12,2.0,2.0,1.5,2.0,2.0,2.0,0.0,1.5
Read: Class 13,2.0,2.0,1.4,1.0,2.0,2.0,0.0,1.0
Code Challenge: Class 13,5.0,5.0,2.88,3.25,5.0,5.0,0.0,1.0
Lab: 13 - Linear Regressions,10.0,10.0,9.0,10.0,10.0,10.0,0.0,8.75
Learning Journal: Class 13,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Class 14,2.0,2.0,1.08,1.0,2.0,2.0,0.0,0.0
Career Coaching Workshop #3 Prep - Professional and Personal Development,10.0,10.0,7.9,10.0,10.0,10.0,0.0,9.5
Career Coaching Workshop #3 Prep - Targeted Job Search,10.0,10.0,8.55,10.0,10.0,10.0,0.0,8.75
Code Challenge: Class 14,5.0,5.0,4.55,5.0,5.0,5.0,0.0,5.0
Lab: 14 - Data Visualization,10.0,10.0,5.0,5.5,10.0,8.5,0.0,0.0
Learning Journal: Class 14,2.0,2.0,1.5,2.0,2.0,2.0,0.0,1.5
Read: Trees,2.0,2.0,1.0,1.25,2.0,1.5,0.0,0.0
"Career Coaching Workshop #3: Job Searches, Networking, and Negotiations",50.0,50.0,47.5,50.0,50.0,50.0,0.0,50.0
Career: Partner Power Hour - Report #3,5.0,5.0,4.25,5.0,5.0,5.0,0.0,5.0
Code Challenge: Class 15: Binary Tree and BST Implementation,5.0,5.0,4.03,4.0,5.0,5.0,0.0,4.0
Feedback: Week 3,5.0,5.0,4.75,5.0,5.0,5.0,0.0,5.0
Learning Journal: Class 15,2.0,2.0,1.8,2.0,2.0,2.0,0.0,2.0
Read: Class 16,2.0,2.0,1.55,2.0,2.0,2.0,0.0,1.75
Code Challenge: Class 16,5.0,5.0,3.7,5.0,5.0,5.0,0.0,2.88
Lab: 16 - Serverless Functions,10.0,10.0,8.21,10.0,10.0,10.0,0.0,7.5
Learning Journal: Class 16,2.0,2.0,1.7,2.0,2.0,2.0,0.0,2.0
Read: Class 17,2.0,2.0,1.3,2.0,2.0,2.0,0.0,0.38
Code Challenge: Class 17,5.0,5.0,3.65,4.5,5.0,5.0,0.0,2.75
Lab: 17 - Web Scraping,10.0,10.0,8.65,10.0,10.0,10.0,2.0,8.0
Learning Journal: Class 17,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Class 18,2.0,2.0,1.6,2.0,2.0,2.0,0.0,1.0
Code Challenge: Class 18,5.0,5.0,3.65,5.0,5.0,5.0,0.0,1.75
Lab: 18 - Cryptography,10.0,10.0,7.65,8.5,10.0,10.0,2.0,6.5
Learning Journal: Class 18,2.0,2.0,1.9,2.0,2.0,2.0,0.0,2.0
Read: Class 19,2.0,2.0,1.6,2.0,2.0,2.0,0.0,1.75
Code Challenge: Class 19,5.0,5.0,4.95,5.0,5.0,5.0,4.0,5.0
Lab: 19 - Automation,10.0,10.0,7.73,9.0,10.0,10.0,0.0,7.5
Learning Journal: Class 19,2.0,2.0,1.8,2.0,2.0,2.0,0.0,2.0
Career: Partner Power Hour - Report #4,5.0,5.0,4.5,5.0,5.0,5.0,0.0,5.0
Feedback: Week 4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Learning Journal: Class 20,2.0,2.0,1.5,2.0,2.0,2.0,0.0,1.5
Project: Midterm Prep #1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Project: Midterm Prep #2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Project: Midterm Retro #1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Project: Midterm Retro #2,5.0,5.0,3.95,5.0,5.0,5.0,0.0,5.0
